date,code,score,pool_rank,w,my_ma50_gap,my_struct_gap,my_dd_from_high_21,my_atr_pct
2018-02-07,US.AAPL,1.0,1.0,1.0,-0.07112090799223703,-0.05982512223022268,-0.11000780988639702,0.026066458929446455
2018-02-12,US.AAPL,1.0,1.0,1.0,-0.04423151959340077,-0.054047052810255417,-0.08862351445337868,0.031800379619907226
2018-02-13,US.AAPL,1.0,1.0,1.0,-0.03388360791564671,-0.04772346630866314,-0.07949350604014749,0.031057565364032723
2018-02-14,US.AAPL,1.0,1.0,1.0,-0.015725448145466614,-0.033441941964592777,-0.06252177257219782,0.030605395538033396
2018-02-15,US.AAPL,1.0,1.0,1.0,0.01686083731818666,-0.009399841885856092,-0.031042847807954077,0.031175141313571846
2018-02-16,US.AAPL,1.0,1.0,1.0,0.013154717146082406,0.010689503435478254,-0.029849960498216976,0.030708053613276852
2018-02-20,US.AAPL,1.0,1.0,1.0,0.009328534207382999,0.022652064043567986,-0.025358046442489512,0.03064262531207459
2018-02-21,US.AAPL,1.0,1.0,1.0,0.004459751285645686,0.0321582697973788,-0.029781792291803444,0.0312733206071457
2018-03-01,US.AAPL,1.0,1.0,1.0,0.023871541284099074,0.05362514904487252,-0.022182488677100376,0.024297959183412356
2018-03-02,US.AAPL,1.0,1.0,1.0,0.03088980476299419,0.05147743613529293,-0.015421579040486466,0.02259073994680303
2018-03-05,US.AAPL,1.0,1.0,1.0,0.03409689598976562,0.04406885486920331,-0.012013186561724676,0.020791927224226382
2018-03-06,US.AAPL,1.0,1.0,1.0,0.03285385134490593,0.03626809820205924,-0.012851315875014313,0.0204133614734691
2018-03-07,US.AAPL,1.0,1.0,1.0,0.023178625592875646,0.02946001928160001,-0.022014862833503623,0.01968234017117726
2018-03-08,US.AAPL,1.0,1.0,1.0,0.03402474657611454,0.026234870387811932,-0.011342683139685006,0.018004489013635206
2018-03-14,US.AAPL,1.0,1.0,1.0,0.03776946905285494,0.020239296121265883,-0.01804974685417393,0.01807730489853848
2018-03-15,US.AAPL,1.0,1.0,1.0,0.038134725623545584,0.018972851944946693,-0.016894122830083957,0.017664227743691082
2018-03-16,US.AAPL,1.0,1.0,1.0,0.03369419813892871,0.015425233122785684,-0.020360994925819775,0.016767778903939223
2018-03-19,US.AAPL,1.0,1.0,1.0,0.017548927967697914,0.0075213919029152,-0.035329077700109957,0.017859180183477225
2018-03-20,US.AAPL,1.0,1.0,1.0,0.01708841304398523,0.0011584113249066543,-0.03565925598935471,0.017577933938410697
2018-03-21,US.AAPL,1.0,1.0,1.0,-0.0056795777361274835,-0.0072458690956090244,-0.05750605327544123,0.016677927085660845
2018-03-22,US.AAPL,1.0,1.0,1.0,-0.019185591408490743,-0.017876813739902714,-0.07082324455657507,0.017014256104149743
2018-03-23,US.AAPL,1.0,1.0,1.0,-0.04093503594719328,-0.030959742939777404,-0.09233986352995094,0.01817977100133831
2018-03-26,US.AAPL,1.0,1.0,1.0,0.004803646109426296,-0.030691092205315157,-0.04925159585659222,0.019852983739123378
2018-03-27,US.AAPL,1.0,1.0,1.0,-0.020045138704399723,-0.03671141737405966,-0.07362976007382138,0.022849165808376485
2018-03-28,US.AAPL,1.0,1.0,1.0,-0.029856788450928207,-0.03938010572060082,-0.08386528725160525,0.024280050804667035
